,Company Name,Company Website
0,Adaptive Digital Power,www.adp-ic.com
1,ADWAYS VIETNAM,nan
2,ALLIANCE BAY REALTY,nan
3,AMIYA,"http://www.alogsmash.com/ 
http://www.amiya.com.tw/"
4,AMIYA,"http://www.alogsmash.com/ 
http://www.amiya.com.tw/"
5,ASEAN-JAPAN CENTRE,www.asean.or.jp
6,ASPA - VIETNAM,"www.aspa-vietnam.org 
www.aspa-malaysia.com.my"
7,ASKエンジニアリング,http://askengineering.co.jp/
8,AU VIET SECURITIES CORPORATION,www.avsc.com.vn
9,B&Company,www.b-company.jp
10,BAMBOO CAPITAL,nan
11,BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,www.bidv.com.vn
12,Bank of America,http://mortgage.bankofamerica.com/ralphtopete
13,BEACON NC VIETNAM,http://www.benc.jp/
14,CAC,http://www.cac.co.jp/
15,CAMICE GREEN TECHNO,nan
16,City of Fujisawa,nan
17,Communication Planning,http://www.cpnet.co.jp/
18,NIPPONHAM,www.nhfoods-vietnam.com.vn
19,Corvet Photo Agency,www.corvet.jp
20,DDS,www.dds.co.jp
21,Delma Roga,nan
22,DRAGON CAPITAL,www.dragoncapital.com
23,VJEC,nan
24,DTS,http//www.dts.co.jp/
25,EMBANYA VIETNAM,nan
26,"Embassy of the Socialist Republic of Vietnam
in the Republic of the Union of Myanmar",nan
27,EXIMBANK,www.eximbank.com.vn
28,FIRST SYSTEM CONSULTING CORPORATION,www.first-g.co.jp
29,アジアの新しい風,http://www.npo-asia.org
30,フォワード・インテグレーション・システム・サービス,http://www.fissc.co.jp/
31,フォワード・インテグレーション・システム・サービス,http://www.fissc.co.jp/
32,Fpt Information System,www.fis.com.vn
33,FPT Software,www.fpt-software.com
34,FRAMGIA VIETNAM,http://framgia.com
35,FUJIMAK,http://www.fujimak.co.jp
36,FUJISAWA City Office,nan
37,FUJITSU,www.fujitsu.com
38,Funai Consulting,nan
39,FURUKAWA ELECTRIC SINGAPORE,http://www.furukawa.co.jp
40,Genesys,www.genesys.gr.jp
41,GLASSEGG digitalmedia,www.glassegg.com
42,GTEL INFORMATION AND COMMUNICATION TECHNOLOGY,www.gtelict.vn
43,HANEL SOFTWARE SOLUTIONS,www.hanelsoft.vn
44,HCS Vietnam,http://hcs-vietnam.com.vn
45,Hitachi Solutions,www.hitachi-solutions.com
46,HOCHIMINH CITY COMPUTER ASSOCIATION (HCA),www.hca.org.vn
47,HOSHIZAKI ELECTRIC,http://www.hoshizaki.com/
48,HOSHIZAKI ELECTRIC,http://www.hoshizaki.com/
49,HOYU,"http://www.hoyusys.co.jp/ 
http://www.aad-net.jp/"
50,HTIP,www.htipmed.com.vn
51,"HUTECH
University of Technology",hutech.edu.vn
52,I.B.C VIỆT NAM,nan
53,INFONAM,www.infonam.com
54,INFORMATION TECHNOLOGY PROMOTION,www.hca.org.vn
55,INNOSOFT,WWW.INNOSOFT.VN
56,ISV VIETNAM,www.isv.vn
57,ITALIAN POINT,"www.puntoitalia.asia 
www.italianpointvn.com"
58,ITEC,www.itec.co.jp
59,Japan External Trade Organization,http://www.btd.co.jp
60,JAPAN EXTERNAL TRADE ORGANIZATION,http://www.jetro.go.jp
61,Japan Information Technology Services Industry Association,http://www.jisa.or.jp/e/
62,Japan Investor Solutions & Technologies,http://www.jis-t.co.jp
63,Japan Online Game Association,http://www.japanonlinegame.org/
64,ジェイ・アクシス,http://www.jaxis.co.jp
65,ソフトウェアサービス,http://www.software-s.co.jp/
66,JV-IT,"jv-it.com.vn 
vinapoint.vn 
ad.vinapoint.vn 
rentalphone.vn"
67,Kevin Bao Lenguyen And Associates,www.kblaa.com
68,Kien Viet Technology,www.kienviettech.vn
69,KIS Vietnam,http://www.kis-v.com
70,KPMG,kpmg.com.vn
71,Learning Masters (International),http://www.lmi.co.jp/
72,LIONS FILM,www.lionsfilm.co.jp
73,LZT VietNam,http://www.vn.lzt.jp
74,MB SECURITIES,www.mbs.com.vn
75,MerchantService,www.merchantservicellc.com
76,METIS CONSULTING,www.metis-consulting.co.jp
77,"MINH VIET GROUP
MINH VIET EDUCATION & INVESTMENT",www.minhviet.edu.vn
78,Ministry of Internal Affairs and Communications,nan
79,"MINISTRY OF PUBLIC SECURITY
Informatics Technology Department",nan
80,MITSUBISHI ELECTRIC INFORMATION TECHNOLOGY,http://www.mdit.co.jp
81,MITSUBISHI ELECTRIC INFORMATION TECHNOLOGY,http://www.mdit.co.jp
82,Mitsubishi UFJ Lease & Finance,mufg.jp/english
83,MITSUIWA INFORMATION,http://www.mit.to
84,MITSUIWA INFORMATION,http://www.mit.to
85,Mobile Mapping Vietnam,nan
86,"NAGANUMA VIETNAM
ABROAD STUDY CONSULTANCY & JAPANESE TRAINING CENTER",www.naganumavietnam.com.vn
87,NAL,www.nal.vn
88,NAOZEN,nan
89,"MINISTRY OF SCIENCE AND TECHNOLOGY OF VIETNAM
NATIONAL AGENCY FOR TECHNOLOGY
ENTREPRENEURSHIP AND COMMERIALIZATION",ttdn.most.gov.vn
90,NEC Vietnam,nan
91,NEC Vietnam,nan
92,NIKKEI,nan
93,NIPPON EXPRESS,http://www.nittsu.co.jp
94,NIPPON TELEGRAPH AND TELEPHONE EAST,nan
95,NISSEI TECHNOLOGY (VIETNAM),http://www.nisseig.com
96,Nón lá RESTAURANT,www.nonlarestaurant.com
97,"NOVAK DRUCE CONNOLLY
BOVE + QUIGG LLP",www.novakdruce.com
98,NTT DATA,www.nttdata.com
99,NTT DATA Vietnam,www.nttdata.com.vn
100,Pasona Tech Systems,systems.pasonatech.co.jp
101,Peak1,nan
102,"peak1
EVENT & Creative",nan
103,Peak1,nan
104,"POSTS & TELECOMMUNICATIONS INSTITUTE OF TECHNOLOGY, HCMC BRANCH","is.ptithm.edu.vn/~tranconghung 
www.ptit.edu.vn"
